Sample #,Date Run,Abs885,Dilution factor,P Concentration (ug/L),Phosphorus (ug),
116,23-Jan,0.917,1,144.5322581,4.335967742,
117,23-Jan,0.472,1,72.75806452,2.182741935,
118,23-Jan,0.526,1,81.46774194,2.444032258,
119,23-Jan,0.527,1,81.62903226,2.448870968,
120,23-Jan,0.775,1,121.6290323,3.648870968,
121,23-Jan,0.381,1,58.08064516,1.742419355,
122,23-Jan,0.546,1,84.69354839,2.540806452,
123,23-Jan,0.505,1,78.08064516,2.342419355,
124,23-Jan,0.927,1,146.1451613,4.384354839,
125,23-Jan,0.696,2,217.7741935,6.533225806,
126,23-Jan,0.815,1,128.0806452,3.842419355,
127,23-Jan,0.762,1,119.5322581,3.585967742,
128,23-Jan,0.269,1,40.01612903,1.200483871,
129,23-Jan,0.526,1,81.46774194,2.444032258,
130,23-Jan,0.541,1,83.88709677,2.516612903,
131,23-Jan,0.965,2,304.5483871,9.136451613,
132,23-Jan,1.215,1,192.5967742,5.777903226,
133,23-Jan,1.202,1,190.5,5.715,
134,23-Jan,1.187,1,188.0806452,5.642419355,
135,23-Jan,0.734,1,115.016129,3.450483871,
136,23-Jan,0.574,1,89.20967742,2.676290323,
137,23-Jan,0.606,1,94.37096774,2.831129032,
138,23-Jan,1.109,4,702,21.06,
139,23-Jan,1.031,2,325.8387097,9.77516129,
140,23-Jan,1.156,1,183.0806452,5.492419355,
141,23-Jan,0.752,1,117.9193548,3.537580645,
142,23-Jan,0.509,1,78.72580645,2.361774194,
143,23-Jan,0.491,1,75.82258065,2.274677419,
144,23-Jan,0.625,1,97.43548387,2.923064516,
145,23-Jan,0.425,1,65.17741935,1.955322581,
146,23-Jan,0.935,4,589.7419355,17.69225806,
147,23-Jan,0.688,2,215.1935484,6.455806452,
148,23-Jan,0.953,2,300.6774194,9.020322581,
149,23-Jan,1.024,1,161.7903226,4.853709677,
150,23-Jan,0.865,1,136.1451613,4.084354839,
151,23-Jan,1.018,2,321.6451613,9.649354839,
152,23-Jan,0.656,4,409.7419355,12.29225806,
