proj ID,lake ID,site,trap ID ,deploy ID,date set ,time set ,date retrieved,time retrieved,comments
15,CR,DeepHole,2,4,7/9/2015,9:30,7/23/2015,10:00,
15,CR,DeepHole,3a,4,7/9/2015,9:30,7/23/2015,10:00,
15,CR,DeepHole,3b,4,7/9/2015,9:30,7/23/2015,10:00,
15,MO,DeepHole,1,4,7/9/2015,11:00,7/23/2015,11:00,
15,MO,DeepHole,2,4,7/9/2015,11:00,7/23/2015,11:00,
15,MO,DeepHole,3a,4,7/9/2015,11:00,7/23/2015,11:00,
15,MO,DeepHole,3b,4,7/9/2015,11:00,7/23/2015,11:00,
15,WL,DeepHole,1,5,7/23/2015,14:00,8/18/2015,10:00,
15,WL,DeepHole,2,5,7/23/2015,14:00,8/18/2015,10:00,
15,EL,DeepHole,1,5,7/23/2015,15:00,8/18/2015,10:15,
15,EL,DeepHole,2,5,7/23/2015,15:00,8/18/2015,10:15,
15,EL,DeepHole,3a,5,7/23/2015,15:00,8/18/2015,10:15,
15,EL,DeepHole,3b,5,7/23/2015,15:00,8/18/2015,10:15,
15,HB,DeepHole,1,5,7/23/2015,12:00,8/18/2015,9:45,
15,HB,DeepHole,2,5,7/23/2015,12:00,8/18/2015,9:45,
15,HB,DeepHole,3a,5,7/23/2015,12:00,8/18/2015,9:45,
15,HB,DeepHole,3b,5,7/23/2015,12:00,8/18/2015,9:45,
15,CR,DeepHole,1,5,7/23/2015,10:00,8/18/2015,11:15,
15,CR,DeepHole,2,5,7/23/2015,10:00,8/18/2015,11:15,
15,CR,DeepHole,3a,5,7/23/2015,10:00,8/18/2015,11:15,
15,CR,DeepHole,3b,5,7/23/2015,10:00,8/18/2015,11:15,
15,MO,DeepHole,1,5,7/23/2015,11:00,8/18/2015,8:45,
15,MO,DeepHole,2,5,7/23/2015,11:00,8/18/2015,8:45,
15,MO,DeepHole,3a,5,7/23/2015,11:00,8/18/2015,8:45,
15,MO,DeepHole,3b,5,7/23/2015,11:00,8/18/2015,8:45,
15,WL,DeepHole,1,6,8/18/2015,10:00,9/10/2015,11:30,
15,WL,DeepHole,2,6,8/18/2015,10:00,9/10/2015,11:30,
15,EL,DeepHole,1,6,8/18/2015,10:15,9/10/2015,12:00,
15,EL,DeepHole,2,6,8/18/2015,10:15,9/10/2015,12:00,
15,EL,DeepHole,3a,6,8/18/2015,10:15,9/10/2015,12:00,
