Summary Table																				
		Sample	Sample ID	Sample Amount	Nitrogen								Carbon							
					"Reten. Time
[min]"	Response	"Height
[mV]"	"Weight
[mg]"	"Weight
[%]"	"Peak
Type"	"Element
Name"	Carbon Weight Ratio	"Reten. Time
[min]"	Response	"Height
[mV]"	"Weight
[mg]"	"Weight
[%]"	"Peak
Type"	"Element
Name"	Carbon Weight Ratio
Jones_EA_KMS_Run7_2015_20161201_001	U-PAD1 - 1	bypass		0.000	2.220	18.154	0.633	0.004	100.00	Ordnr	Nitrogen	???								
Jones_EA_KMS_Run7_2015_20161201_002	U-PAD1 - 1	bypass		0.000	2.227	10.094	0.353	0.000	100.00	Ordnr	Nitrogen	???								
Jones_EA_KMS_Run7_2015_20161201_003	U-PAD1 - 1	timing std		0.000	2.060	65.999	3.060	0.025	12.48	Ordnr	Nitrogen	7.016	3.420	1012.227	49.867	0.174	87.52	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run7_2015_20161201_004	U-PAD1 - 1	blank		0.000	2.213	14.942	0.533	0.003	87.39	Ordnr	Nitrogen	0.144	3.440	5.995	0.277	0.000	12.61	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run7_2015_20161201_005	U-PAD1 - 1	std1_p1h3		0.146	2.047	42.294	1.900	0.015	9.94	Ordnr	Nitrogen	7.510	3.420	633.957	31.573	0.109	74.61	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run7_2015_20161201_006	U-PAD1 - 1	std2_p1h8		0.241	2.047	59.731	2.787	0.022	9.18	Ordnr	Nitrogen	7.266	3.413	933.266	46.460	0.161	66.67	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run7_2015_20161201_007	U-PAD1 - 1	std3_p2d6		0.384	2.033	93.798	4.567	0.037	9.63	Ordnr	Nitrogen	7.304	3.387	1566.129	76.674	0.270	70.33	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run7_2015_20161201_008	U-PAD1 - 1	std4_p2d9		0.574	2.027	152.854	7.316	0.063	10.93	Ordnr	Nitrogen	6.811	3.360	2475.608	120.263	0.427	74.44	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run7_2015_20161201_009	U-PAD1 - 1	std5_p2g3		0.813	2.033	205.161	9.843	0.086	10.52	Ordnr	Nitrogen	6.597	3.340	3268.546	157.729	0.564	69.42	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run7_2015_20161201_010	U-PAD1 - 1	std6_p2d10		1.235	2.040	300.268	15.682	0.127	10.29	Ordnr	Nitrogen	6.929	3.300	5096.002	238.483	0.880	71.28	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_011	U-PAD1 - 1	blank		0.000	2.193	7.608	0.377	N/A	N/A	Error	Nitrogen	???	3.473	218.681	2.094	0.037	100.00	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_012	U-PAD1 - 1	sed103		0.000	2.047	47.205	2.242	0.017	9.62	Ordnr	Nitrogen	9.392	3.420	908.253	43.365	0.156	90.38	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_013	U-PAD1 - 1	sed102		0.000	2.060	46.432	2.060	0.016	11.36	Ordnr	Nitrogen	7.806	3.427	740.294	35.688	0.127	88.64	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_014	U-PAD1 - 1	sed101		0.000	2.047	35.966	1.504	0.012	10.65	Ordnr	Nitrogen	8.391	3.427	573.911	28.571	0.099	89.35	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_015	U-PAD1 - 1	sed96		0.000	2.040	90.287	4.316	0.035	12.22	Ordnr	Nitrogen	7.183	3.400	1476.538	70.028	0.255	87.78	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_016	U-PAD1 - 1	sed95		0.000	2.040	73.001	3.674	0.028	10.64	Ordnr	Nitrogen	8.402	3.400	1359.868	64.426	0.234	89.36	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_017	U-PAD1 - 1	sed81		0.000	2.073	27.174	1.228	0.008	8.85	Ordnr	Nitrogen	10.302	3.433	475.143	23.774	0.081	91.15	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_018	U-PAD1 - 1	sed80		0.000	2.040	36.463	1.626	0.012	10.11	Ordnr	Nitrogen	8.895	3.413	619.298	30.718	0.106	89.89	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_019	U-PAD1 - 1	sed79		0.000	2.047	31.807	1.270	0.010	9.98	Ordnr	Nitrogen	9.016	3.420	521.754	25.944	0.090	90.02	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_020	U-PAD1 - 1	sed82		0.000	2.067	24.282	1.048	0.007	8.71	Ordnr	Nitrogen	10.477	3.427	406.713	20.486	0.070	91.29	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_021	U-PAD1 - 1	sed77		0.000	2.040	87.170	4.250	0.034	11.38	Ordnr	Nitrogen	7.787	3.400	1538.997	74.265	0.265	88.62	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_022	U-PAD1 - 1	sed89		0.000	2.053	49.528	2.377	0.018	8.88	Ordnr	Nitrogen	10.259	3.407	1051.892	50.448	0.181	91.12	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_023	U-PAD1 - 1	sed100		0.000	2.067	23.740	0.637	0.006	14.12	Ordnr	Nitrogen	6.081	3.433	229.350	11.461	0.039	85.88	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_024	U-PAD1 - 1	sed99		0.000	2.087	29.500	0.858	0.009	15.12	Ordnr	Nitrogen	5.612	3.433	293.544	14.665	0.050	84.88	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_025	U-PAD1 - 1	control1_p2c7		0.306	2.020	73.573	3.629	0.028	9.20	Ordnr	Nitrogen	7.597	3.380	1240.952	62.073	0.214	69.89	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_026	U-PAD1 - 1	sed98		0.000	2.053	28.542	1.325	0.009	8.74	Ordnr	Nitrogen	10.437	3.420	517.376	25.436	0.089	91.26	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_027	U-PAD1 - 1	sed97		0.000	2.073	26.544	1.005	0.008	10.93	Ordnr	Nitrogen	8.153	3.433	363.882	18.409	0.062	89.07	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_028	U-PAD1 - 1	sed112		0.000	2.073	17.417	0.660	0.004	7.62	Ordnr	Nitrogen	12.126	3.427	260.015	13.238	0.044	92.38	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_029	U-PAD1 - 1	sed109		0.000	2.053	33.119	1.428	0.011	10.11	Ordnr	Nitrogen	8.896	3.420	544.292	27.348	0.093	89.89	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_030	U-PAD1 - 1	sed72		0.000	2.047	25.925	1.058	0.007	9.24	Ordnr	Nitrogen	9.820	3.427	422.133	21.250	0.072	90.76	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_031	U-PAD1 - 1	sed71		0.000	2.067	85.770	3.983	0.033	14.16	Ordnr	Nitrogen	6.062	3.420	1177.641	56.241	0.203	85.84	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_032	U-PAD1 - 1	sed62		0.000	2.073	28.831	0.892	0.009	10.46	Ordnr	Nitrogen	8.559	3.420	431.186	21.739	0.074	89.54	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_033	U-PAD1 - 1	sed61		0.000	2.053	23.533	1.006	0.006	7.24	Ordnr	Nitrogen	12.812	3.427	472.271	23.896	0.081	92.76	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_034	U-PAD1 - 1	sed60		0.000	2.080	21.079	0.911	0.005	7.13	Ordnr	Nitrogen	13.030	3.433	399.518	20.306	0.068	92.87	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_035	U-PAD1 - 1	sed59		0.000	2.073	28.945	1.236	0.009	10.11	Ordnr	Nitrogen	8.889	3.440	450.258	22.848	0.077	89.89	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_036	U-PAD1 - 1	sed32		0.000	2.087	23.133	0.825	0.006	8.32	Ordnr	Nitrogen	11.017	3.433	395.499	19.436	0.068	91.68	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_037	U-PAD1 - 1	control2_p2d11		0.555	2.027	143.331	7.096	0.059	10.56	Ordnr	Nitrogen	7.074	3.360	2401.109	117.712	0.414	74.67	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_038	U-PAD1 - 1	sed31		0.000	2.100	30.506	1.138	0.009	11.17	Ordnr	Nitrogen	7.951	3.440	434.425	21.418	0.074	88.83	Ordnr	Carbon	1.000
