Summary Table																				
		Sample	Sample ID	Sample Amount	Nitrogen								Carbon							
Jones_EA_KMS_Run7_2015_20161201_039	U-PAD1 - 1	sed30		0.000	2.120	36.144	1.402	0.012	11.13	Ordnr	Nitrogen	7.987	3.440	550.012	27.295	0.094	88.87	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_040	U-PAD1 - 1	sed29		0.000	2.067	28.197	1.186	0.008	8.98	Ordnr	Nitrogen	10.136	3.433	493.742	24.554	0.085	91.02	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_041	U-PAD1 - 1	sed20		0.000	2.067	45.440	2.073	0.016	9.67	Ordnr	Nitrogen	9.341	3.433	861.782	42.782	0.148	90.33	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_042	U-PAD1 - 1	sed19		0.000	2.067	64.005	2.966	0.024	9.93	Ordnr	Nitrogen	9.075	3.427	1262.542	60.404	0.218	90.07	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_043	U-PAD1 - 1	sed18		0.000	2.080	27.179	1.107	0.008	9.28	Ordnr	Nitrogen	9.774	3.447	451.133	21.888	0.077	90.72	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_044	U-PAD1 - 1	sed17		0.000	2.053	73.784	3.575	0.028	11.80	Ordnr	Nitrogen	7.472	3.413	1224.578	59.414	0.211	88.20	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_045	U-PAD1 - 1	sed8		0.000	2.060	48.615	2.243	0.017	8.45	Ordnr	Nitrogen	10.830	3.420	1085.307	52.352	0.187	91.55	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_046	U-PAD1 - 1	sed7		0.000	2.060	61.223	2.017	0.023	13.04	Ordnr	Nitrogen	6.671	3.427	882.215	43.046	0.152	86.96	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_047	U-PAD1 - 1	sed6		0.000	2.060	32.390	1.562	0.010	7.23	Ordnr	Nitrogen	12.835	3.433	759.981	38.178	0.131	92.77	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_048	U-PAD1 - 1	sed5		0.000	2.047	68.393	3.042	0.026	10.78	Ordnr	Nitrogen	8.275	3.413	1243.141	61.350	0.214	89.22	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_049	U-PAD1 - 1	sed24		0.000	2.067	30.156	1.257	0.009	9.13	Ordnr	Nitrogen	9.954	3.440	534.130	26.719	0.092	90.87	Ordnr	Carbon	1.000
Jones_EA_KMS_Run7_2015_20161201_050	U-PAD1 - 1	sed23		0.000	2.073	26.038	1.124	0.007	7.79	Ordnr	Nitrogen	11.836	3.433	511.386	25.645	0.088	92.21	Ordnr	Carbon	1.000
