Summary Table																				
		Sample	Sample ID	Sample Amount	Nitrogen								Carbon							
					"Reten. Time
[min]"	Response	"Height
[mV]"	"Weight
[mg]"	"Weight
[%]"	"Peak
Type"	"Element
Name"	Carbon Weight Ratio	"Reten. Time
[min]"	Response	"Height
[mV]"	"Weight
[mg]"	"Weight
[%]"	"Peak
Type"	"Element
Name"	Carbon Weight Ratio
Jones_EA_KMS_Run6_2015_20161128_001	U-PAD1 - 1	bypass		0.000	2.213	29.209	0.953	0.009	100.00	Ordnr	Nitrogen	???								
Jones_EA_KMS_Run6_2015_20161128_002	U-PAD1 - 1	bypass		0.000	2.247	10.774	0.383	0.002	100.00	Ordnr	Nitrogen	???								
Jones_EA_KMS_Run6_2015_20161128_003	U-PAD1 - 1	timing std		0.000	2.080	106.182	4.820	0.040	12.69	Ordnr	Nitrogen	6.879	3.440	1671.992	78.157	0.278	87.31	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run6_2015_20161128_004	U-PAD1 - 1	blank1		0.000	2.227	18.374	0.616	0.005	34.33	Ordnr	Nitrogen	1.913	3.447	9.192	0.398	0.009	65.67	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run6_2015_20161128_005	U-PAD1 - 1	std1		0.156	2.080	46.121	1.955	0.016	10.22	Ordnr	Nitrogen	6.971	3.447	640.369	31.451	0.111	71.24	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run6_2015_20161128_006	U-PAD1 - 1	std2		0.226	2.053	62.882	2.730	0.023	10.08	Ordnr	Nitrogen	6.853	3.427	918.142	44.996	0.156	69.09	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run6_2015_20161128_007	U-PAD1 - 1	std3		0.340	2.053	87.570	4.182	0.033	9.67	Ordnr	Nitrogen	7.346	3.413	1444.243	70.435	0.241	71.01	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run6_2015_20161128_008	U-PAD1 - 1	std4		0.474	2.047	118.797	5.806	0.046	9.62	Ordnr	Nitrogen	7.276	3.393	2002.422	96.298	0.332	70.02	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run6_2015_20161128_009	U-PAD1 - 1	std5		0.918	2.040	241.887	11.755	0.096	10.44	Ordnr	Nitrogen	6.763	3.340	3954.919	183.074	0.648	70.63	Ordnr	Carbon	1.000
