Summary Table																				
		Sample	Sample ID	Sample Amount	Nitrogen								Carbon							
CALIB\Jones_EA_KMS_Run6_2015_20161128_010	U-PAD1 - 1	std6		1.462	2.047	381.254	19.787	0.153	10.45	Ordnr	Nitrogen	6.836	3.287	6397.971	286.462	1.044	71.43	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_011	U-PAD1 - 1	blank2		0.000	2.200	14.919	0.533	0.003	27.63	Ordnr	Nitrogen	2.620	3.460	6.496	0.311	0.008	72.37	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_012	U-PAD1 - 1	sed58		0.000	2.073	38.072	1.735	0.013	7.38	Ordnr	Nitrogen	12.550	3.440	934.562	44.441	0.159	92.62	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_013	U-PAD1 - 1	sed57		0.000	2.093	32.898	1.108	0.011	11.47	Ordnr	Nitrogen	7.717	3.440	456.677	21.868	0.081	88.53	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_014	U-PAD1 - 1	sed56		0.000	2.080	30.638	1.295	0.010	9.85	Ordnr	Nitrogen	9.149	3.440	497.747	23.963	0.088	90.15	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_015	U-PAD1 - 1	sed55		0.000	2.073	37.769	1.454	0.013	16.63	Ordnr	Nitrogen	5.014	3.433	342.403	16.698	0.063	83.37	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_016	U-PAD1 - 1	sed54		0.000	2.080	26.582	1.150	0.008	8.58	Ordnr	Nitrogen	10.650	3.440	477.945	23.346	0.085	91.42	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_017	U-PAD1 - 1	sed53		0.000	2.060	34.915	1.422	0.011	10.70	Ordnr	Nitrogen	8.348	3.433	540.104	26.462	0.095	89.30	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_018	U-PAD1 - 1	sed111		0.000	2.080	22.400	0.763	0.006	9.56	Ordnr	Nitrogen	9.458	3.440	319.774	16.051	0.059	90.44	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_019	U-PAD1 - 1	sed108		0.000	2.127	126.791	4.726	0.049	18.88	Ordnr	Nitrogen	4.296	3.433	1250.216	57.842	0.210	81.12	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_020	U-PAD1 - 1	sed107		0.000	2.060	133.395	6.138	0.052	11.50	Ordnr	Nitrogen	7.692	3.393	2402.319	109.144	0.397	88.50	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_021	U-PAD1 - 1	sed106		0.000	2.060	44.611	2.150	0.015	9.15	Ordnr	Nitrogen	9.931	3.440	893.692	41.630	0.152	90.85	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_022	U-PAD1 - 1	sed105		0.000	2.060	95.354	4.504	0.036	11.76	Ordnr	Nitrogen	7.505	3.413	1623.615	76.965	0.271	88.24	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_023	U-PAD1 - 1	sed110		0.000	2.060	37.342	1.851	0.012	7.67	Ordnr	Nitrogen	12.031	3.433	871.908	41.122	0.149	92.33	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_024	U-PAD1 - 1	control1		0.197	2.233	200.074	7.269	0.079	40.00	Ordnr	Nitrogen	1.830	3.407	844.603	41.579	0.144	73.21	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_025	U-PAD1 - 1	sed68		0.000	2.080	20.549	0.863	0.005	7.92	Ordnr	Nitrogen	11.626	3.440	349.244	17.482	0.064	92.08	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_026	U-PAD1 - 1	sed67		0.000									3.440	320.252	15.801	0.059	100.00	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_027	U-PAD1 - 1	sed66		0.000	2.040	58.864	2.106	0.021	14.49	Ordnr	Nitrogen	5.902	3.420	724.736	34.478	0.125	85.51	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_028	U-PAD1 - 1	sed65		0.000	2.067	41.708	1.550	0.014	13.63	Ordnr	Nitrogen	6.339	3.433	507.713	24.502	0.090	86.37	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_029	U-PAD1 - 1	sed70		0.000	2.073	26.786	1.085	0.008	9.09	Ordnr	Nitrogen	9.995	3.440	450.941	22.138	0.080	90.91	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_030	U-PAD1 - 1	sed69		0.000	2.073	39.229	1.353	0.013	11.78	Ordnr	Nitrogen	7.491	3.433	561.421	27.539	0.098	88.22	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_031	U-PAD1 - 1	sed76		0.000	2.073	43.197	1.687	0.015	9.68	Ordnr	Nitrogen	9.335	3.440	804.047	36.136	0.138	90.32	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_032	U-PAD1 - 1	sed75		0.000	2.073	31.092	1.111	0.010	10.24	Ordnr	Nitrogen	8.767	3.440	485.078	23.343	0.086	89.76	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_033	U-PAD1 - 1	sed74		0.000	2.067	33.448	1.371	0.011	9.68	Ordnr	Nitrogen	9.329	3.427	574.444	27.342	0.100	90.32	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_034	U-PAD1 - 1	sed73		0.000	2.053	50.107	1.865	0.018	11.65	Ordnr	Nitrogen	7.584	3.427	776.842	36.717	0.133	88.35	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_035	U-PAD1 - 1	sed64		0.000	2.053	63.098	2.617	0.023	12.90	Ordnr	Nitrogen	6.750	3.420	907.356	43.008	0.154	87.10	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_036	U-PAD1 - 1	sed63		0.000	2.067	74.906	2.511	0.028	17.58	Ordnr	Nitrogen	4.688	3.433	755.812	36.433	0.130	82.42	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_037	U-PAD1 - 1	control2		0.805	2.027	210.131	10.255	0.083	10.30	Ordnr	Nitrogen	6.874	3.333	3471.016	164.879	0.570	70.80	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_038	U-PAD1 - 1	sed85		0.000	2.080	46.725	1.877	0.016	12.64	Ordnr	Nitrogen	6.913	3.427	645.184	30.921	0.112	87.36	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_039	U-PAD1 - 1	sed83		0.000	2.073	25.920	1.186	0.008	9.00	Ordnr	Nitrogen	10.109	3.440	434.499	21.733	0.078	91.00	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_040	U-PAD1 - 1	sed86		0.000	2.073	34.779	1.488	0.011	10.00	Ordnr	Nitrogen	8.998	3.440	582.603	27.239	0.102	90.00	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_041	U-PAD1 - 1	sed87		0.000	2.053	65.841	2.459	0.024	12.71	Ordnr	Nitrogen	6.868	3.420	971.340	45.642	0.165	87.29	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_042	U-PAD1 - 1	sed78		0.000	2.060	114.719	5.508	0.044	12.15	Ordnr	Nitrogen	7.231	3.413	1915.344	87.451	0.318	87.85	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_043	U-PAD1 - 1	sed84		0.000	2.047	99.736	4.425	0.038	13.57	Ordnr	Nitrogen	6.368	3.413	1441.055	68.192	0.241	86.43	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_044	U-PAD1 - 1	sed90		0.000	2.053	95.361	4.436	0.036	10.09	Ordnr	Nitrogen	8.910	3.400	1936.194	88.471	0.321	89.91	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_045	U-PAD1 - 1	sed88		0.000	2.080	29.148	1.329	0.009	8.17	Ordnr	Nitrogen	11.239	3.447	579.564	26.735	0.101	91.83	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_046	U-PAD1 - 1	sed92		0.000	2.060	35.957	1.567	0.012	9.82	Ordnr	Nitrogen	9.182	3.433	622.699	30.770	0.108	90.18	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_047	U-PAD1 - 1	sed91		0.000	2.080	41.754	1.571	0.014	14.35	Ordnr	Nitrogen	5.968	3.440	476.097	23.847	0.085	85.65	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_048	U-PAD1 - 1	sed94		0.000	2.080	16.477	0.693	0.004	6.22	Ordnr	Nitrogen	15.078	3.433	311.677	15.288	0.058	93.78	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_049	U-PAD1 - 1	sed93		0.000	2.093	26.170	0.890	0.008	10.67	Ordnr	Nitrogen	8.375	3.447	357.530	17.829	0.065	89.33	Ordnr	Carbon	1.000
Jones_EA_KMS_Run6_2015_20161128_050	U-PAD1 - 1	sed104		0.000	2.047	60.727	2.677	0.022	11.38	Ordnr	Nitrogen	7.788	3.420	1007.300	48.302	0.171	88.62	Ordnr	Carbon	1.000
