Summary Table																				
		Sample	Sample ID	Sample Amount	Nitrogen								Carbon							
					"Reten. Time
[min]"	Response	"Height
[mV]"	"Weight
[mg]"	"Weight
[%]"	"Peak
Type"	"Element
Name"	Carbon Weight Ratio	"Reten. Time
[min]"	Response	"Height
[mV]"	"Weight
[mg]"	"Weight
[%]"	"Peak
Type"	"Element
Name"	Carbon Weight Ratio
Jones_EA_KMS_Run5_2015_20161122_002	U-PAD1 - 1	bypass		0.000	2.240	12.634	0.427	N/A	N/A	Error	Nitrogen	???								
Jones_EA_KMS_Run5_2015_20161122_003	U-PAD1 - 1	timing		0.000	2.033	94.082	4.421	0.036	12.35	Ordnr	Nitrogen	7.094	3.400	1499.108	73.405	0.255	87.65	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run5_2015_20161122_004	U-PAD1 - 1	blank1		0.000	2.213	14.751	0.574	0.001	100.00	Ordnr	Nitrogen	???	3.453	12.136	0.601	N/A	N/A	Error	Carbon	???
CALIB\Jones_EA_KMS_Run5_2015_20161122_005	U-PAD1 - 1	std1		0.181	2.047	53.594	2.302	0.018	9.94	Ordnr	Nitrogen	7.017	3.420	761.528	37.784	0.126	69.77	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run5_2015_20161122_006	U-PAD1 - 1	std2		0.341	2.033	90.534	4.271	0.034	10.07	Ordnr	Nitrogen	7.144	3.393	1445.072	71.184	0.245	71.96	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run5_2015_20161122_007	U-PAD1 - 1	std3		0.490	2.040	134.168	6.258	0.054	10.95	Ordnr	Nitrogen	6.660	3.387	2087.800	101.901	0.357	72.94	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run5_2015_20161122_008	U-PAD1 - 1	std4		0.589	2.047	154.702	7.572	0.063	10.65	Ordnr	Nitrogen	6.897	3.380	2520.336	122.585	0.433	73.47	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run5_2015_20161122_009	U-PAD1 - 1	std5		0.997	2.047	232.181	11.980	0.097	9.73	Ordnr	Nitrogen	7.012	3.340	3941.688	187.809	0.680	68.25	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run5_2015_20161122_010	U-PAD1 - 1	std6		1.669	2.040	409.346	21.781	0.175	10.51	Ordnr	Nitrogen	6.813	3.260	6897.111	310.345	1.195	71.63	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_011	U-PAD1 - 1	blank2		0.000	2.207	14.807	0.512	0.001	100.00	Ordnr	Nitrogen	???	3.453	7.676	0.357	N/A	N/A	Error	Carbon	???
Jones_EA_KMS_Run5_2015_20161122_012	U-PAD1 - 1	P-1533		0.000	2.080	25.839	1.007	0.006	6.86	Ordnr	Nitrogen	13.568	3.433	481.566	22.948	0.077	93.14	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_013	U-PAD1 - 1	P-1525		0.000	2.047	77.402	3.593	0.029	11.18	Ordnr	Nitrogen	7.944	3.413	1337.630	60.670	0.227	88.82	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_014	U-PAD1 - 1	P-1528		0.000	2.053	34.685	1.519	0.010	9.52	Ordnr	Nitrogen	9.506	3.420	562.007	28.021	0.092	90.48	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_015	U-PAD1 - 1	P-1498		0.000	2.047	74.472	3.455	0.027	15.32	Ordnr	Nitrogen	5.527	3.407	900.716	43.244	0.151	84.68	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_016	U-PAD1 - 1	P-1495		0.000	2.073	31.965	1.338	0.008	9.00	Ordnr	Nitrogen	10.117	3.427	525.882	26.009	0.085	91.00	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_017	U-PAD1 - 1	P-1458		0.000	2.047	74.152	2.443	0.027	18.86	Ordnr	Nitrogen	4.302	3.413	705.855	34.337	0.117	81.14	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_018	U-PAD1 - 1	P-1456		0.000	2.060	38.242	1.579	0.011	10.61	Ordnr	Nitrogen	8.422	3.433	578.228	28.734	0.094	89.39	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_019	U-PAD1 - 1	P-1511		0.000	2.047	52.459	2.604	0.017	8.56	Ordnr	Nitrogen	10.679	3.407	1108.912	52.674	0.187	91.44	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_020	U-PAD1 - 1	P-1453		0.000	2.067	34.943	1.643	0.010	8.66	Ordnr	Nitrogen	10.543	3.433	626.213	31.267	0.103	91.34	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_021	U-PAD1 - 1	P-1454		0.000	2.047	83.015	3.909	0.031	12.83	Ordnr	Nitrogen	6.793	3.407	1246.101	58.822	0.211	87.17	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_022	U-PAD1 - 1	P-1457		0.000	2.073	39.895	1.549	0.012	12.13	Ordnr	Nitrogen	7.245	3.420	532.945	26.313	0.086	87.87	Ordnr	Carbon	1.000
