Summary Table																				
		Sample	Sample ID	Sample Amount	Nitrogen								Carbon							
Jones_EA_KMS_Run5_2015_20161122_023	U-PAD1 - 1	control1		0.195	2.027	61.482	2.445	0.021	11.02	Ordnr	Nitrogen	6.446	3.400	831.694	41.477	0.139	71.03	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_024	U-PAD1 - 1	P-1455		0.000	2.053	41.142	1.870	0.012	9.19	Ordnr	Nitrogen	9.884	3.427	744.978	36.737	0.123	90.81	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_025	U-PAD1 - 1	P-1499		0.000	2.060	33.302	1.382	0.009	9.02	Ordnr	Nitrogen	10.088	3.427	558.753	27.828	0.091	90.98	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_026	U-PAD1 - 1	P-1469		0.000	2.093	23.044	0.968	0.004	6.80	Ordnr	Nitrogen	13.703	3.440	388.675	19.513	0.061	93.20	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_027	U-PAD1 - 1	BADH6415	"plate 1, F7"	0.000	2.080	35.266	1.468	0.010	9.31	Ordnr	Nitrogen	9.744	3.433	589.552	29.477	0.096	90.69	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_028	U-PAD1 - 1	PAIN6215	"plate 1, F8"	0.000	2.093	25.505	0.926	0.006	11.25	Ordnr	Nitrogen	7.889	3.427	288.746	14.576	0.044	88.75	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_029	U-PAD1 - 1	BayIN6415	"plate 1, F9"	0.000	2.080	38.765	1.721	0.011	10.58	Ordnr	Nitrogen	8.453	3.427	591.475	29.175	0.097	89.42	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_030	U-PAD1 - 1	P-1501		0.000	2.060	48.985	2.052	0.016	11.66	Ordnr	Nitrogen	7.573	3.420	730.321	35.955	0.121	88.34	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_031	U-PAD1 - 1	P-1504		0.000	2.073	37.748	1.346	0.011	12.01	Ordnr	Nitrogen	7.323	3.433	498.412	24.639	0.080	87.99	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_032	U-PAD1 - 1	P-1494		0.000	2.060	51.652	1.909	0.017	11.57	Ordnr	Nitrogen	7.640	3.420	788.221	38.343	0.131	88.43	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_033	U-PAD1 - 1	P-1467		0.000	2.080	22.220	0.923	0.004	5.17	Ordnr	Nitrogen	18.325	3.433	469.005	23.335	0.075	94.83	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_034	U-PAD1 - 1	P-1522		0.000	2.080	24.197	0.944	0.005	6.99	Ordnr	Nitrogen	13.297	3.433	417.204	19.912	0.066	93.01	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_035	U-PAD1 - 1	P-1540		0.000	2.067	36.327	1.259	0.010	11.61	Ordnr	Nitrogen	7.613	3.427	489.156	24.076	0.079	88.39	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_036	U-PAD1 - 1	P-1386		0.000	2.107	29.573	0.895	0.007	11.34	Ordnr	Nitrogen	7.818	3.433	367.244	18.137	0.058	88.66	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_037	U-PAD1 - 1	P-1383		0.000	2.073	29.301	1.125	0.007	8.18	Ordnr	Nitrogen	11.227	3.433	503.540	24.210	0.081	91.82	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_038	U-PAD1 - 1	control2		0.858	2.027	204.461	10.507	0.085	9.88	Ordnr	Nitrogen	7.314	3.333	3594.970	169.666	0.620	72.26	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_039	U-PAD1 - 1	sed52		0.000	2.080	39.183	1.655	0.012	8.59	Ordnr	Nitrogen	10.647	3.433	746.684	36.222	0.124	91.41	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_040	U-PAD1 - 1	sed50		0.000	2.080	24.141	1.017	0.005	6.43	Ordnr	Nitrogen	14.557	3.427	451.187	22.106	0.072	93.57	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_041	U-PAD1 - 1	sed47		0.000	2.060	49.311	2.191	0.016	9.67	Ordnr	Nitrogen	9.340	3.413	899.849	42.886	0.150	90.33	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_042	U-PAD1 - 1	sed48		0.000	2.060	39.483	1.780	0.012	9.57	Ordnr	Nitrogen	9.446	3.433	673.833	33.217	0.111	90.43	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_043	U-PAD1 - 1	sed49		0.000	2.073	34.672	1.194	0.010	13.46	Ordnr	Nitrogen	6.430	3.440	391.847	18.964	0.062	86.54	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_044	U-PAD1 - 1	sed51		0.000	2.060	38.735	1.483	0.011	11.00	Ordnr	Nitrogen	8.088	3.420	566.907	28.018	0.092	89.00	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_045	U-PAD1 - 1	sed45		0.000	2.053	63.183	2.815	0.022	10.83	Ordnr	Nitrogen	8.236	3.407	1088.080	52.468	0.183	89.17	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_046	U-PAD1 - 1	sed46		0.000	2.060	41.315	1.713	0.013	10.57	Ordnr	Nitrogen	8.459	3.420	646.618	31.672	0.106	89.43	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_047	U-PAD1 - 1	sed44		0.000	2.080	40.932	1.346	0.012	11.63	Ordnr	Nitrogen	7.602	3.433	577.430	28.025	0.094	88.37	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_048	U-PAD1 - 1	sed43		0.000	2.060	37.374	1.263	0.011	12.77	Ordnr	Nitrogen	6.828	3.427	460.722	22.375	0.074	87.23	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_049	U-PAD1 - 1	sed42		0.000	2.113	38.212	1.151	0.011	15.16	Ordnr	Nitrogen	5.597	3.440	396.203	19.683	0.063	84.84	Ordnr	Carbon	1.000
Jones_EA_KMS_Run5_2015_20161122_050	U-PAD1 - 1	sed41		0.000	2.060	41.183	1.846	0.013	8.98	Ordnr	Nitrogen	10.135	3.420	764.052	37.534	0.127	91.02	Ordnr	Carbon	1.000
