		Sample	Sample ID	Sample Amount	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Carbon	Carbon	Carbon	Carbon	Carbon	Carbon	Carbon	Carbon	
					Reten. Time	Response	Height	Weight	Weight	Peak	Element	Carbon Weight Ratio	Reten. Time	Response	Height	Weight	Weight	Peak	Element	Carbon Weight Ratio	
					[min]		[mV]	[mg]	[%]	Type	Name		[min]		[mV]	[mg]	[%]	Type	Name	
Jones_EA_KMS_Run4_2014_20170131_001	U-PAD1 - 1	bypass	32	0.000	1.760	21.445	1.107	0.005	98.25	Ordnr	Nitrogen	0.018	3.327	6.267	0.806	0.000	1.75	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run4_2014_20170131_002	U-PAD1 - 1	bypass	33	0.000	1.753	17.462	0.877	0.002	100.00	Ordnr	Nitrogen	???	3.087	1.356	0.273	N/A	N/A	Error	Carbon	???	
Jones_EA_KMS_Run4_2014_20170131_003	U-PAD1 - 1	timing	34	0.000	1.753	45.797	4.176	0.023	13.44	Ordnr	Nitrogen	6.438	3.280	553.929	45.095	0.151	86.56	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run4_2014_20170131_004	U-PAD1 - 1	blank	35	0.000	1.767	13.722	0.865	N/A	N/A	Error	Nitrogen	???	3.193	1.464	0.302	N/A	N/A	Error	Carbon	???	
CALIB\Jones_EA_KMS_Run4_2014_20170131_005	U-PAD1 - 1	std1_p3h7	36	0.205	1.747	46.084	3.990	0.024	11.52	Ordnr	Nitrogen	6.435	3.273	558.658	45.380	0.152	74.13	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run4_2014_20170131_006	U-PAD1 - 1	std2_p3b2	37	0.343	1.747	59.027	6.056	0.033	9.72	Ordnr	Nitrogen	7.068	3.260	863.255	69.602	0.236	68.72	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run4_2014_20170131_007	U-PAD1 - 1	std3_p3b6	38	0.478	1.747	76.470	8.057	0.046	9.72	Ordnr	Nitrogen	7.022	3.240	1192.618	95.557	0.326	68.26	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run4_2014_20170131_008	U-PAD1 - 1	std4_p3b7	39	0.536	1.747	88.808	9.068	0.056	10.40	Ordnr	Nitrogen	6.769	3.233	1378.307	109.801	0.377	70.40	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run4_2014_20170131_009	U-PAD1 - 1	std5_p3d11	40	0.662	1.760	106.604	11.505	0.069	10.44	Ordnr	Nitrogen	6.889	3.227	1737.970	136.720	0.476	71.94	Ordnr	Carbon	1.000	
