		Sample	Sample ID	Sample Amount	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Carbon	Carbon	Carbon	Carbon	Carbon	Carbon	Carbon	Carbon	
					Reten. Time	Response	Height	Weight	Weight	Peak	Element	Carbon Weight Ratio	Reten. Time	Response	Height	Weight	Weight	Peak	Element	Carbon Weight Ratio	
					[min]		[mV]	[mg]	[%]	Type	Name		[min]		[mV]	[mg]	[%]	Type	Name	
Jones_EA_KMS_Run2_2014_20170119_001	U-PAD1 - 1	bypass		0.000	2.273	24.941	1.065	0.006	100.00	Ordnr	Nitrogen	???									
Jones_EA_KMS_Run2_2014_20170119_002	U-PAD1 - 1	bypass		0.000	2.273	15.027	0.655	0.002	100.00	Ordnr	Nitrogen	???									
Jones_EA_KMS_Run2_2014_20170119_003	U-PAD1 - 1	timing std		0.000	2.127	54.030	2.654	0.018	13.00	Ordnr	Nitrogen	6.694	3.627	758.704	41.120	0.123	87.00	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run2_2014_20170119_004	U-PAD1 - 1	blank		0.000	1.947	1.292	0.287	N/A	N/A	Error	Nitrogen	???	3.527	3.826	0.509	N/A	N/A	Error	Carbon	???	
CALIB\Jones_EA_KMS_Run2_2014_20170119_005	U-PAD1 - 1	std1_p2h8		0.098	2.120	40.064	1.715	0.013	12.90	Ordnr	Nitrogen	5.378	3.627	426.825	22.789	0.068	69.41	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run2_2014_20170119_006	U-PAD1 - 1	std2_p2g8		0.226	2.127	71.987	3.425	0.026	11.46	Ordnr	Nitrogen	6.326	3.620	1000.388	54.485	0.164	72.49	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run2_2014_20170119_007	U-PAD1 - 1	std3_p2g1		0.365	2.127	198.947	11.396	0.079	21.53	Ordnr	Nitrogen	7.056	3.553	3339.257	174.906	0.555	151.92	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run2_2014_20170119_008	U-PAD1 - 1	std4_p2f3		0.406	2.113	108.834	6.026	0.041	10.14	Ordnr	Nitrogen	6.976	3.587	1739.701	93.573	0.287	70.77	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run2_2014_20170119_009	U-PAD1 - 1	std5_p2g2		0.591	2.120	156.298	8.828	0.061	10.30	Ordnr	Nitrogen	6.938	3.567	2548.406	135.839	0.422	71.47	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run2_2014_20170119_010	U-PAD1 - 1	std6_p3d10		0.787	2.120	205.275	11.636	0.081	10.32	Ordnr	Nitrogen	6.867	3.547	3358.565	175.676	0.558	70.87	Ordnr	Carbon	1.000	
