Sample,Response Base,File Name,Sample Type,Weight_mg,Nitrogen area_mV.s,Nitrogen_mg,Nitrogen_%,Carbon area_mV.s,Carbon_mg,Carbon_%,Nitrogen_Carbon,Nitrogen area_%,Carbon area_%,Comments,Flag
bypass1,Area,Jones_JS_POC_run12_031815_001.prm,ByPass,0,29.9641,0.0069,100,0,0,0,???,1,0,,0
bypass2,Area,Jones_JS_POC_run12_031815_002.prm,ByPass,0,19.0777,0.0025,100,0,0,0,???,1,0,,0
timingstd_H6,Area,Jones_JS_POC_run12_031815_003.prm,Unknown,1.092,298.0324,0.1148,10.5158,5115.5195,0.7881,72.1664,0.0583,0.055053024,0.944946976,,0
blank1_A6,Area,Jones_JS_POC_run12_031815_004.prm,Blank,0,14.869,0.0008,100,0,0,0,???,1,0,,0
std1_F3,Area,Jones_JS_POC_run12_031815_005.prm,Standard,0.135,46.5646,0.0136,10.0491,637.1051,0.0842,62.3869,0.0731,0.06810979,0.93189021,,0
std2_E11,Area,Jones_JS_POC_run12_031815_006.prm,Standard,0.383,110.7916,0.0394,10.2952,1836.8952,0.2728,71.2228,0.0603,0.056883684,0.943116316,,0
std3_E4,Area,Jones_JS_POC_run12_031815_007.prm,Standard,0.597,136.2436,0.0497,8.3216,2309.9949,0.3471,58.1468,0.059,0.055695142,0.944304858,"omitted from calibration, very low response ",0
std4_G11,Area,Jones_JS_POC_run12_031815_008.prm,Standard,0.854,230.7936,0.0878,10.2758,4030.5947,0.6175,72.3125,0.0573,0.054159251,0.945840749,,0
std5_H4,Area,Jones_JS_POC_run12_031815_009.prm,Standard,1.483,397.4901,0.1549,10.444,6911.2318,1.0703,72.1696,0.0575,0.05438572,0.94561428,,0
std6_H11,Area,Jones_JS_POC_run12_031815_010.prm,Standard,1.929,507.7447,0.1993,10.3309,8766.0809,1.3618,70.5954,0.0579,0.054750296,0.945249704,,0
std7_B3,Area,Jones_JS_POC_run12_031815_011.prm,Standard,2.269,625.1996,0.2466,10.8675,1.03E+04,1.6074,70.8401,0.0605,0.057068755,0.942931245,,0
