		Sample	Sample ID	Sample Amount	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Carbon	Carbon	Carbon	Carbon	Carbon	Carbon	Carbon	Carbon	
					Reten. Time	Response	Height	Weight	Weight	Peak	Element	Carbon Weight Ratio	Reten. Time	Response	Height	Weight	Weight	Peak	Element	Carbon Weight Ratio	
					[min]		[mV]	[mg]	[%]	Type	Name		[min]		[mV]	[mg]	[%]	Type	Name	
Jones_EA_KMS_Run1_2014_20170110_027	U-PAD1 - 1	P-1276		0.000	1.947	32.848	1.893	0.013	11.44	Ordnr	Nitrogen	7.739	3.293	460.748	29.248	0.103	88.56	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_028	U-PAD1 - 1	P-1277		0.000	1.953	29.282	1.735	0.011	10.20	Ordnr	Nitrogen	8.800	3.300	447.660	28.565	0.101	89.80	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_029	U-PAD1 - 1	P-1278		0.000	1.940	35.570	2.176	0.015	10.90	Ordnr	Nitrogen	8.173	3.293	547.804	34.545	0.121	89.10	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_030	U-PAD1 - 1	P-1279		0.000	1.940	63.757	4.101	0.030	12.84	Ordnr	Nitrogen	6.788	3.280	951.125	58.031	0.203	87.16	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_031	U-PAD1 - 1	P-1280		0.000	1.940	28.568	1.665	0.011	10.46	Ordnr	Nitrogen	8.563	3.287	418.214	26.514	0.095	89.54	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_032	U-PAD1 - 1	P-1281		0.000	1.960	11.924	0.694	0.002	3.77	Ordnr	Nitrogen	25.534	3.307	219.616	12.858	0.054	96.23	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_033	U-PAD1 - 1	P-1282		0.000	1.953	21.044	1.186	0.007	6.33	Ordnr	Nitrogen	14.790	3.300	462.966	28.869	0.104	93.67	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_034	U-PAD1 - 1	P-1283		0.000	1.940	33.357	1.939	0.014	9.33	Ordnr	Nitrogen	9.717	3.280	603.440	38.022	0.132	90.67	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_035	U-PAD1 - 1	P-1284		0.000	1.947	26.012	1.477	0.010	8.45	Ordnr	Nitrogen	10.840	3.293	468.776	29.567	0.105	91.55	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_036	U-PAD1 - 1	P-1285		0.000	1.940	37.514	2.486	0.016	8.88	Ordnr	Nitrogen	10.264	3.280	752.343	47.191	0.163	91.12	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_037	U-PAD1 - 1	control2_p2h2		0.000	1.933	35.213	2.165	0.015	10.56	Ordnr	Nitrogen	8.473	3.280	561.670	34.769	0.124	89.44	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_038	U-PAD1 - 1	P-1286		0.000	1.947	32.885	2.017	0.013	7.25	Ordnr	Nitrogen	12.784	3.280	792.570	50.146	0.171	92.75	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_039	U-PAD1 - 1	P-1287		0.000	1.940	37.832	2.388	0.016	11.06	Ordnr	Nitrogen	8.045	3.287	586.426	36.663	0.129	88.94	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_040	U-PAD1 - 1	P-1288		0.000	1.947	119.307	7.857	0.060	13.70	Ordnr	Nitrogen	6.299	3.253	1800.950	105.564	0.376	86.30	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_041	U-PAD1 - 1	P-1289		0.000	1.940	47.069	2.199	0.021	15.01	Ordnr	Nitrogen	5.660	3.293	536.582	33.058	0.119	84.99	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_042	U-PAD1 - 1	P-1290		0.000	1.947	86.573	5.144	0.042	14.41	Ordnr	Nitrogen	5.939	3.273	1183.344	71.407	0.250	85.59	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_043	U-PAD1 - 1	P-1291		0.000	1.953	42.914	2.779	0.019	10.49	Ordnr	Nitrogen	8.529	3.293	738.728	46.499	0.160	89.51	Ordnr	Carbon	1.000	
Jones_EA_KMS_Run1_2014_20170110_044	U-PAD1 - 1	P-1292		0.000	1.940	48.155	1.988	0.022	17.84	Ordnr	Nitrogen	4.605	3.293	441.133	27.932	0.099	82.16	Ordnr	Carbon	1.000	
