Sample,Response Base,File Name,Sample Type,Weight_mg,Nitrogen area_mV.s,Nitrogen_mg,Nitrogen_%,Carbon area_mV.s,Carbon_mg,Carbon_%,Nitrogen_Carbon,Nitrogen area_%,Carbon area_%,Comments,Flag
bypass1,Area,Jones_JAZ_ST_run5_022615_001.prm,ByPass,0,37.4579,0.009,100,0,0,0,???,100,0,,0
bypass2,Area,Jones_JAZ_ST_run5_022615_002.prm,ByPass,0,0,0,0,0,0,0,???,0,0,,0
timingStd_C4,Area,Jones_JAZ_ST_run5_022615_003.prm,Unknown,1.995,550.9517,0.2026,10.1574,9319.0751,1.4373,72.0427,0.0591,5.5821,94.4179,,0
blank1_A1,Area,Jones_JAZ_ST_run5_022615_004.prm,Blank,0,19.3996,0.0022,100,0,0,0,???,100,0,,0
std1_D8,Area,Jones_JAZ_ST_run5_022615_005.prm,Standard,0.217,76.8456,0.0239,10.9988,1075.7864,0.1357,62.5525,0.0714,6.667,93.333,,0
std2_G3,Area,Jones_JAZ_ST_run5_022615_006.prm,Standard,0.369,115.5422,0.0385,10.4225,1806.7281,0.2511,68.0611,0.064,6.0107,93.9893,,0
std3_C12,Area,Jones_JAZ_ST_run5_022615_007.prm,Standard,0.594,177.8229,0.0619,10.4282,2943.0913,0.4306,72.4854,0.0604,5.6978,94.3022,,0
std4_C6,Area,Jones_JAZ_ST_run5_022615_008.prm,Standard,1.102,312.7666,0.1128,10.2384,5293.2532,0.8016,72.7427,0.0591,5.5791,94.4209,,0
std5_F1,Area,Jones_JAZ_ST_run5_022615_009.prm,Standard,1.747,475.1108,0.174,9.9624,8164.8622,1.255,71.8384,0.0582,5.499,94.501,,0
std6_E9,Area,Jones_JAZ_ST_run5_022615_010.prm,Standard,2.849,802.7358,0.2976,10.4451,1.31E+04,2.0332,71.3641,0.0613,5.7701,94.1163,,0
std7_E11,Area,Jones_JAZ_ST_run5_022615_011.prm,Standard,3.503,980.5915,0.3646,10.4095,1.59E+04,2.4726,70.5853,0.0618,5.8108,94.082,,0
blank2_A2,Area,Jones_JAZ_ST_run5_022615_012.prm,Unknown,0,14.7201,0.0004,100,0,0,0,???,100,0,,0
st55_E7,Area,Jones_JAZ_ST_run5_022615_013.prm,Unknown,0,196.4912,0.069,11.2834,3651.302,0.5424,88.7166,0.0538,5.1066,94.8934,,0
st56_E8,Area,Jones_JAZ_ST_run5_022615_014.prm,Unknown,0,149.6801,0.0513,10.3551,3030.5903,0.4444,89.6449,0.0494,4.7065,95.2935,,0
st57_E9,Area,Jones_JAZ_ST_run5_022615_015.prm,Unknown,0,113.9719,0.0379,11.537,2055.0518,0.2904,88.463,0.0555,5.2105,93.9509,,0
st58_E10,Area,Jones_JAZ_ST_run5_022615_016.prm,Unknown,0,84.7101,0.0268,3.6641,4684.3342,0.7055,96.3359,0.0181,1.7762,98.2238,,0
st59_E11,Area,Jones_JAZ_ST_run5_022615_017.prm,Unknown,0,140.9773,0.048,9.8164,3011.956,0.4414,90.1836,0.0468,4.4713,95.5287,,0
st60_E12,Area,Jones_JAZ_ST_run5_022615_018.prm,Unknown,0,141.7327,0.0483,12.6916,2322.0284,0.3325,87.3084,0.061,5.7243,93.7818,,0
st61_F1,Area,Jones_JAZ_ST_run5_022615_019.prm,Unknown,0,166.476,0.0577,2.7357,1.32E+04,2.0502,97.2643,0.0126,1.2423,98.5124,,0
st62_F2,Area,Jones_JAZ_ST_run5_022615_020.prm,Unknown,0,219.9619,0.0778,10.2608,4527.4451,0.6807,89.7392,0.0486,4.6017,94.7164,,0
st70_F10,Area,Jones_JAZ_ST_run5_022615_021.prm,Unknown,0,103.024,0.0337,18.9743,1128.5727,0.1441,81.0257,0.0913,8.2756,90.6546,,0
st71_F11,Area,Jones_JAZ_ST_run5_022615_022.prm,Unknown,0,148.4731,0.0509,10.1897,3056.1519,0.4484,89.8103,0.0486,4.4162,90.9026,,0
st72_F12,Area,Jones_JAZ_ST_run5_022615_023.prm,Unknown,0,125.5994,0.0423,17.1542,1508.4485,0.2041,82.8458,0.0833,7.4377,89.3266,,0
control_C9,Area,Jones_JAZ_ST_run5_022615_024.prm,Unknown,1.237,341.6893,0.1237,10.0027,5961.774,0.9072,73.3368,0.0573,5.3655,93.6173,,0
st79_G7,Area,Jones_JAZ_ST_run5_022615_025.prm,Unknown,0,58.4105,0.0169,11.8871,1010.2401,0.1254,88.1129,0.0578,5.2507,90.8136,,0
st80_G8,Area,Jones_JAZ_ST_run5_022615_026.prm,Unknown,0,55.7327,0.0159,13.4059,866.8214,0.1027,86.5941,0.0643,6.0411,93.9589,,0
st81_G9,Area,Jones_JAZ_ST_run5_022615_027.prm,Unknown,0,0,0,0,1293.8064,0.1702,100,0,0,88.9404,,0
st86_H2,Area,Jones_JAZ_ST_run5_022615_028.prm,Unknown,0,206.495,0.0728,9.991,4367.4331,0.6554,90.009,0.0473,4.4825,94.8069,,0
st87_H3,Area,Jones_JAZ_ST_run5_022615_029.prm,Unknown,0,74.5668,0.023,11.7192,1313.8106,0.1733,88.2808,0.0568,5.3708,94.6292,,0
st88_H4,Area,Jones_JAZ_ST_run5_022615_030.prm,Unknown,0,95.0028,0.0307,19.4266,1022.9003,0.1274,80.5734,0.0929,8.399,90.433,,0
st89_H5,Area,Jones_JAZ_ST_run5_022615_031.prm,Unknown,0,293.6258,0.1056,10.7622,5762.363,0.8757,89.2378,0.051,4.8271,94.7305,,0
st90_H6,Area,Jones_JAZ_ST_run5_022615_032.prm,Unknown,0,99.4649,0.0324,10.5838,1949.5773,0.2737,89.4162,0.051,4.8542,95.1458,,0
st91_H7,Area,Jones_JAZ_ST_run5_022615_033.prm,Unknown,0,126.1512,0.0425,12.7386,2058.2161,0.2909,87.2614,0.0613,5.6689,92.4913,,0
st92_H8,Area,Jones_JAZ_ST_run5_022615_034.prm,Unknown,0,87.8712,0.028,13.9551,1310.5023,0.1728,86.0449,0.0671,6.2264,92.8596,,0
st93_H9,Area,Jones_JAZ_ST_run5_022615_035.prm,Unknown,0,80.0534,0.0251,9.431,1741.3487,0.2408,90.569,0.046,4.2554,92.5643,,0
st94_H10,Area,Jones_JAZ_ST_run5_022615_036.prm,Unknown,0,64.833,0.0193,10.8317,1224.3276,0.1592,89.1683,0.053,4.5369,85.6764,,0
st95_H11,Area,Jones_JAZ_ST_run5_022615_037.prm,Unknown,0,78.3663,0.0244,12.263,1323.5971,0.1749,87.737,0.0592,5.3782,90.8375,,0
st96_H12,Area,Jones_JAZ_ST_run5_022615_038.prm,Unknown,0,54.4181,0.0154,9.513,1144.4823,0.1466,90.487,0.0475,4.4467,93.5203,,0
control_F8,Area,Jones_JAZ_ST_run5_022615_039.prm,Unknown,1.222,342.6163,0.1241,10.154,5827.8832,0.886,72.507,0.0588,5.5525,94.4475,,0
st97_A1,Area,Jones_JAZ_ST_run5_022615_040.prm,Unknown,0,88.9292,0.0284,14.8247,1250.4047,0.1633,85.1753,0.0711,6.6398,93.3602,,0
st98_A2,Area,Jones_JAZ_ST_run5_022615_041.prm,Unknown,0,70.6651,0.0215,9.875,1460.9921,0.1966,90.125,0.0484,4.5828,94.7482,,0
st99_A3,Area,Jones_JAZ_ST_run5_022615_042.prm,Unknown,0,70.7674,0.0216,15.7723,945.8179,0.1152,84.2277,0.0748,6.9613,93.0387,,0
st100_A4,Area,Jones_JAZ_ST_run5_022615_043.prm,Unknown,0,219.7285,0.0777,9.5924,4856.9522,0.7327,90.4076,0.0452,4.3282,95.6718,,0
st101_A5,Area,Jones_JAZ_ST_run5_022615_044.prm,Unknown,0,96.4559,0.0313,12.3649,1619.3855,0.2216,87.6351,0.0596,5.5777,93.6437,,0
st102_A6,Area,Jones_JAZ_ST_run5_022615_045.prm,Unknown,0,95.1469,0.0308,11.6552,1693.1887,0.2332,88.3448,0.0562,5.3204,94.6796,,0
st103_A7,Area,Jones_JAZ_ST_run5_022615_046.prm,Unknown,0,78.9669,0.0247,12.5899,1300.7718,0.1713,87.4101,0.0607,5.7233,94.2767,,0
st104_A8,Area,Jones_JAZ_ST_run5_022615_047.prm,Unknown,0,91.1074,0.0292,11.2209,1681.5858,0.2314,88.7791,0.0542,5.0749,93.6683,,0
st105_A9,Area,Jones_JAZ_ST_run5_022615_048.prm,Unknown,0,74.4419,0.023,9.9772,1528.2352,0.2072,90.0228,0.0487,4.5636,93.6862,,0
st106_A10,Area,Jones_JAZ_ST_run5_022615_049.prm,Unknown,0,593.21,0.2186,10.3739,1.22E+04,1.8884,89.6261,0.0487,4.6455,95.3545,,0
st107_A11,Area,Jones_JAZ_ST_run5_022615_050.prm,Unknown,0,206.7908,0.0729,9.4675,4629.2291,0.6968,90.5325,0.0447,4.2761,95.7239,,0
st108_A12,Area,Jones_JAZ_ST_run5_022615_051.prm,Unknown,0,119.0119,0.0398,14.0953,1751.1019,0.2424,85.9047,0.068,6.2712,92.2718,,0
control_F4,Area,Jones_JAZ_ST_run5_022615_052.prm,Unknown,1.049,298.9589,0.1076,10.2593,5150.3007,0.7791,74.2664,0.058,5.4503,93.8955,,0
st109_B1,Area,Jones_JAZ_ST_run5_022615_053.prm,Unknown,0,90.5741,0.029,10.5529,1775.2845,0.2462,89.4471,0.051,4.8543,95.1457,,0
st110_B2,Area,Jones_JAZ_ST_run5_022615_054.prm,Unknown,0,82.4225,0.026,9.1904,1841.3346,0.2566,90.8096,0.0448,4.2845,95.7155,,0
st111_B3,Area,Jones_JAZ_ST_run5_022615_055.prm,Unknown,0,76.1852,0.0236,11.5008,1367.1746,0.1817,88.4992,0.0557,5.2783,94.7217,,0
st112_B4,Area,Jones_JAZ_ST_run5_022615_056.prm,Unknown,0,245.488,0.0875,15.8039,3167.1244,0.4659,84.1961,0.0775,7.1936,92.8064,,0
st113_B5,Area,Jones_JAZ_ST_run5_022615_057.prm,Unknown,0,202.251,0.0712,12.9522,3244.8401,0.4782,87.0478,0.0623,5.8673,94.1327,,0
st114_B6,Area,Jones_JAZ_ST_run5_022615_058.prm,Unknown,0,100.2858,0.0327,11.9116,1747.963,0.2419,88.0884,0.0574,5.426,94.574,,0
st115_B7,Area,Jones_JAZ_ST_run5_022615_059.prm,Unknown,0,87.8172,0.028,12.4392,1464.5977,0.1971,87.5608,0.06,5.6568,94.3432,,0
st116_B8,Area,Jones_JAZ_ST_run5_022615_060.prm,Unknown,0,136.405,0.0463,12.0507,2357.4545,0.3381,87.9493,0.0579,5.4696,94.5304,,0
st117_B9,Area,Jones_JAZ_ST_run5_022615_061.prm,Unknown,0,80.755,0.0253,6.5406,2509.5325,0.3621,93.4594,0.0322,3.1176,96.8824,,0
st118_B10,Area,Jones_JAZ_ST_run5_022615_062.prm,Unknown,0,106.6949,0.0351,14.4255,1535.7057,0.2084,85.5745,0.0695,6.4963,93.5037,,0
st119_B11,Area,Jones_JAZ_ST_run5_022615_063.prm,Unknown,0,109.8578,0.0363,14.5631,1565.4461,0.2131,85.4369,0.0702,6.5575,93.4425,,0
st120_B12,Area,Jones_JAZ_ST_run5_022615_064.prm,Unknown,0,131.6535,0.0445,16.8462,1608.3376,0.2198,83.1538,0.0819,7.5663,92.4337,,0
control_E3,Area,Jones_JAZ_ST_run5_022615_065.prm,Unknown,1.364,387.2036,0.1409,10.3295,6543.5958,0.999,73.2433,0.0592,5.5867,94.4133,,0
